FirstName,LastName,DOB,Phone,Email,Address,City,State,Zip,Occupation,Preference,Phase,Approved?,Update
Edward,Taylor,1974-02-14,818-891-1387,tammy41@yahoo.com,6767 Abigail Springs Suite 852,Barberside,WA,95302,"Doctor, general practice",dog,adopting,True,2002-09-24
James,Ingram,1984-12-14,728-449-2108,ashleyknight@gmail.com,00564 Smith Springs Apt. 947,Lake Heather,WA,96429,Community arts worker,dog,fostering,False,2000-09-28
Marie,Davis,1984-10-24,049-619-5981,gina63@gmail.com,22899 Heather Freeway,East Anthony,WA,96429,Land/geomatics surveyor,cat,adopting,False,2001-06-25
Gwendolyn,Wood,1983-12-25,421-795-6811,tyler44@yahoo.com,99746 Calvin Dale Apt. 523,New Douglasborough,CA,97359,Human resources officer,dog,fostering,True,2002-12-20
Elizabeth,Soto,1977-12-23,389-819-7631,friedmanbradley@yahoo.com,12775 Julie Port,New Robert,OR,97512,Actor,dog,adopting,True,2000-12-15
Ebony,Garcia,1987-04-03,956-524-6060,barreraphyllis@gmail.com,07592 Phillips Burg,South Theresafort,OR,93484,"Doctor, hospital",dog,fostering,True,2002-10-21
Brandon,Thornton,1984-11-25,400-046-6714,michaelcannon@robinson.com,52762 Douglas Crossing,Williamsfurt,CA,96988,"Accountant, chartered",dog,adopting,True,2002-05-26
Wendy,Carpenter,1983-06-30,700-807-7570,jamescarlos@patton-bruce.com,05133 Davis Crest Apt. 869,North Alicia,WA,90371,Health service manager,dog,fostering,False,2002-05-28
Shelby,Jensen,1978-05-14,676-217-8776,qsimmons@yahoo.com,34791 Meyers Forge,Careyfurt,OR,99029,Contractor,dog,adopting,True,2003-03-31
Paula,Allen,1994-09-01,613-829-4956,eric80@fisher-strickland.info,941 Samantha Mountain,Andreport,CA,90970,Barrister,cat,adopting,True,2002-07-27
Andrea,Carter,1983-10-31,082-364-0669,yharris@yahoo.com,980 Mahoney Curve Apt. 496,New Timothyville,CA,99280,Telecommunications researcher,cat,adopting,False,2000-10-01
Kendra,Fletcher,1987-11-13,679-591-6661,hgutierrez@burton.org,216 Oliver Fall Apt. 562,North Robert,OR,97542,"Teacher, English as a foreign language",dog,adopting,False,2002-02-16
Connor,Johnson,1998-02-23,819-220-1029,matthewblack@boyd.com,52349 Rhonda Circles Suite 002,Johnchester,WA,94469,Product/process development scientist,dog,fostering,False,2002-03-14
Laura,Davis,1997-10-07,912-162-8248,mcfarlandnancy@hotmail.com,1768 Erica Spring Suite 325,West Ericport,OR,93198,"Producer, radio",dog,adopting,False,2002-01-27
Amanda,White,1975-01-08,487-398-9513,cheryl18@gmail.com,938 Cook Isle,East Krystal,WA,90412,Chief Executive Officer,cat,adopting,False,2003-05-16
Matthew,Garner,1998-07-08,925-875-7935,benjaminparker@gmail.com,3483 Macias Trail,East Daniel,CA,90094,Operations geologist,cat,adopting,True,2002-09-13
Paul,Booker,2002-06-20,754-974-5053,kennedykristi@wilson-montgomery.com,8424 Barber Stream Apt. 360,Andersonville,WA,96891,"Programmer, systems",cat,adopting,False,2002-12-18
Timothy,Stuart,2002-09-24,162-826-2085,nathaniellopez@gmail.com,44148 Lynch Fort,New Kenneth,WA,97657,"Administrator, Civil Service",cat,fostering,True,2003-12-01
David,Terry,1992-09-02,229-632-1287,julie85@hotmail.com,41485 Ford Ford,Kathleenbury,WA,97664,Chief Marketing Officer,cat,adopting,True,2002-08-28
Juan,Clark,1992-01-07,255-068-8010,hullvincent@anderson.net,04880 Julie Bridge Apt. 413,Roachfort,WA,93439,Mental health nurse,cat,fostering,False,2002-10-25
Claudia,Turner,1981-09-04,328-543-7419,kimberlyshah@yahoo.com,4893 Cynthia Port Apt. 074,Reidton,CA,96990,Music therapist,dog,adopting,True,2002-07-13
Kelly,Morris,1970-02-05,452-039-1972,mariawright@garcia.net,98858 Brown Extension Suite 555,Diazchester,CA,99075,Commercial horticulturist,dog,adopting,True,2002-12-15
Anna,Smith,1991-08-07,804-618-3049,dustin53@cruz-roberts.info,609 Sean Courts,West Tamara,CA,92735,Banker,cat,fostering,True,2003-10-17
Joshua,Phillips,1990-04-09,673-747-9576,howellmichele@hotmail.com,25951 Ross Ville Apt. 292,Jeffreytown,OR,94214,Sports administrator,dog,fostering,False,2000-09-25
Cynthia,Swanson,1993-10-16,288-482-8916,stacycox@martin.com,60908 Christensen Estate Suite 024,Robinsonbury,OR,97030,Technical brewer,dog,fostering,True,2002-08-03
Joshua,Collins,1977-02-05,124-227-9245,bondjeffrey@reynolds-hernandez.com,46079 Edward Prairie,East Joshua,OR,93228,"Scientist, forensic",cat,fostering,True,2001-02-14
Ruben,Palmer,1975-05-11,575-201-9912,clintonmeyer@hotmail.com,847 Sylvia Points Apt. 558,Martinport,WA,98898,"Producer, radio",cat,fostering,False,2002-11-05
Regina,Knight,1997-04-14,966-381-5503,skinnercarlos@taylor.com,1616 Eric Lake,Russellmouth,OR,98460,General practice doctor,cat,fostering,True,2002-08-03
Joseph,Mitchell,1973-04-08,283-253-5553,jaimejohnson@gmail.com,12037 John Overpass,Ashleefurt,WA,94088,Writer,cat,adopting,True,2000-12-04
Joan,Cox,1990-04-21,243-812-5545,simmonstimothy@gmail.com,6939 Annette Grove,Michaelview,WA,91259,"Psychologist, educational",dog,fostering,True,2000-11-08
Brandy,Smith,1980-07-23,571-910-6575,odiaz@hotmail.com,9402 Robert Burg Apt. 079,Esteshaven,CA,97064,Emergency planning/management officer,cat,fostering,False,2002-05-24
Kimberly,Dunlap,1986-12-25,841-437-0781,whoward@hotmail.com,2970 Daniels Throughway Apt. 582,East Richard,WA,91157,Physiotherapist,dog,adopting,True,2001-07-16
Joseph,Vasquez,1994-01-01,792-341-3394,kayla05@boyle.info,3842 Johnson Prairie,Gailmouth,OR,96401,Computer games developer,cat,adopting,False,2001-09-09
Alexis,Blackwell,1980-05-29,629-498-4218,dclarke@walsh.org,2314 Larsen Pass,Watkinston,CA,90182,Sports development officer,cat,fostering,True,2001-04-02
Zachary,Miller,1975-09-20,061-285-7995,jedwards@parker-tate.com,933 Patricia Pike Apt. 941,Juanhaven,CA,91319,"Psychologist, prison and probation services",cat,fostering,True,2000-04-19
Tony,Villegas,1985-04-03,602-802-6384,hwest@russell.com,4370 Ramirez Heights Suite 925,Jessicafurt,CA,91572,"Physicist, medical",cat,fostering,True,2003-11-25
Audrey,Schultz,1985-07-21,003-429-6110,paustin@davis.com,9636 Tracy Plain,North Michaelfurt,WA,91881,"Designer, jewellery",cat,adopting,False,2003-04-23
Matthew,Evans,1993-12-31,157-888-0163,tiffany49@gmail.com,2533 Gordon Green,Brooksfurt,CA,97199,Operational investment banker,cat,fostering,True,2002-02-01
Jessica,Smith,1974-11-25,870-598-3693,james83@lopez.org,89761 Todd Loop,New Joshuamouth,OR,92371,Public librarian,cat,fostering,True,2003-10-26
Patrick,Noble,2000-09-23,469-274-0685,angelicacallahan@hotmail.com,9108 Woods Shores Apt. 763,Melissaville,OR,90597,"Development worker, community",cat,fostering,True,2000-12-08
Kimberly,Bolton,1993-07-17,986-326-7781,fsanchez@johnson.info,241 Smith Ports Apt. 601,Port Drewton,CA,92718,"Education officer, community",dog,adopting,True,2002-07-15
Lauren,Lopez,2001-12-08,627-860-9972,katherine85@johnson.com,03778 Perkins Curve Apt. 820,East Alexandria,OR,99302,Financial manager,cat,adopting,True,2001-01-30
Lindsay,Trujillo,1971-08-05,833-498-6841,jenniferfox@gmail.com,1468 Jessica Plaza Apt. 180,Faulknermouth,OR,94538,IT trainer,cat,adopting,False,2002-03-01
Nancy,Washington,1972-08-05,460-873-7019,yatesdavid@gmail.com,78775 Mark Trafficway,Erinshire,WA,91442,Theme park manager,dog,adopting,False,2000-11-29
Justin,Baker,1988-03-04,560-988-8643,carterchristopher@ortiz.com,3578 Tammy Crossroad Suite 106,Spencertown,CA,97067,"Engineer, aeronautical",dog,fostering,False,2000-10-12
Veronica,Lopez,2002-05-24,845-669-1543,stevensonaustin@gmail.com,215 Donald Pass Suite 585,Port William,CA,91153,Bookseller,cat,adopting,True,2003-12-22
Kim,Townsend,1995-11-13,345-983-0030,jennifer34@gmail.com,82451 Justin Vista,Brownport,OR,96708,"Accountant, chartered",dog,fostering,False,2001-12-29
Matthew,Ramirez,1987-01-14,011-968-8173,jesus26@rodriguez-abbott.org,91751 Richards Roads Apt. 376,New Christinamouth,WA,92626,"Production assistant, radio",cat,fostering,False,2001-12-25
Jessica,Phillips,1973-07-05,174-414-5027,qzhang@fisher.com,9346 Craig Squares Apt. 354,South Harold,WA,97668,Private music teacher,cat,fostering,False,2000-01-08
Jason,Sweeney,2001-10-27,602-251-1740,lauranash@hotmail.com,25794 Helen Union Apt. 932,West Geoffreyshire,WA,98241,Air traffic controller,dog,adopting,False,2000-12-13
Jennifer,Woods,1974-03-18,675-724-5415,xhall@yahoo.com,97435 Santiago Crossroad Suite 451,Jonathanton,WA,94031,Energy manager,cat,adopting,False,2001-04-30
Ashley,Obrien,1987-05-02,336-514-6626,oscargarcia@gmail.com,180 Ellen Loop Suite 825,Aaronview,WA,96158,Electronics engineer,cat,fostering,True,2000-12-03
Brandon,Hernandez,1991-03-26,466-463-5066,jeffreywest@gmail.com,3132 Cabrera Parks,North Ryan,CA,96403,Broadcast presenter,dog,fostering,True,2001-01-16
Kyle,Smith,1980-03-05,422-390-9831,lauraschmitt@schultz.com,77433 Warner Ville Apt. 595,Tracymouth,CA,96107,"Conservation officer, historic buildings",cat,adopting,True,2003-10-26
Jesse,Johnson,1986-03-12,132-145-3830,natasha54@myers.biz,6582 Michael Unions,Salaston,OR,98338,Data processing manager,dog,adopting,True,2002-03-22
Joanna,Ross,1994-09-26,979-084-3708,sylviaramsey@boyd.com,0411 Aaron Spur,Lake Ronald,CA,98391,Musician,dog,fostering,False,2000-05-10
James,Johnson,1985-04-17,381-896-2113,davidspears@arnold.biz,023 Mckee Port,Caseyborough,OR,93435,"Production assistant, radio",dog,fostering,False,2002-11-18
Samuel,Golden,1990-07-08,110-614-7713,mvelasquez@gmail.com,735 Tasha Mountain,North Daniel,OR,97702,Retail manager,cat,fostering,False,2001-06-12
Chris,Graham,2001-07-04,087-789-8785,timothy99@gmail.com,32365 Frank Ports Apt. 935,Oconnellhaven,CA,91537,Herbalist,cat,adopting,True,2003-01-25
Catherine,Brooks,1989-07-17,116-857-6731,mcdonaldterrence@hotmail.com,340 Aguirre Ports,Wiseton,CA,92560,"Radiographer, diagnostic",cat,adopting,False,2001-04-18
Donald,Phillips,2000-01-26,840-478-6492,martinezkimberly@yahoo.com,300 Weaver Parks,New Crystalberg,OR,90483,Medical laboratory scientific officer,dog,fostering,False,2001-03-26
Angela,Schroeder,1990-09-28,204-307-4611,lauriebrown@gmail.com,28183 Carroll Extension Suite 287,Lisaport,OR,97629,Games developer,cat,fostering,True,2000-01-09
Brian,Blevins,2002-03-18,547-813-2235,jesus30@fuentes.com,727 Jose Hills,East Nathanielville,OR,92333,Licensed conveyancer,cat,fostering,True,2000-10-19
Emily,Hoffman,1987-01-29,089-256-5777,john40@sanders.com,1801 Willis Brooks Apt. 723,South Michelle,OR,97046,Arts development officer,dog,fostering,False,2003-09-30
Justin,Davila,1979-09-13,420-889-9456,kristin96@yahoo.com,976 Parrish Cliffs,Moodymouth,OR,98755,Secretary/administrator,dog,adopting,False,2003-11-10
Erin,Hunt,2002-09-25,312-442-9480,bobbygray@yahoo.com,3359 Barbara Forest Apt. 069,Aliciaside,CA,95797,Biomedical scientist,dog,fostering,False,2000-02-24
Valerie,James,1975-02-07,646-900-0205,mckayanthony@cruz-howard.com,14621 Phillip Islands,Lake Lisaport,CA,97752,Housing manager/officer,cat,adopting,False,2000-07-16
Michael,Wilkinson,1993-08-09,204-737-8608,sbailey@yahoo.com,071 Shelley Mount,Andersonfort,WA,90880,Higher education careers adviser,dog,adopting,True,2001-09-05
Katelyn,Hopkins,1997-07-20,803-432-1119,walterray@gallegos.com,45338 Alyssa Prairie,East Amyborough,WA,90473,"Engineer, petroleum",dog,fostering,False,2001-09-06
Judy,Sawyer,1977-06-30,329-807-9748,kscott@yahoo.com,1705 Debra Lodge,Murrayport,CA,92863,Armed forces operational officer,cat,adopting,True,2001-09-14
Thomas,Hughes,1975-03-17,270-764-5811,skelley@hotmail.com,70999 Laurie Branch,Aguilarside,OR,90253,Illustrator,cat,fostering,False,2001-01-12
Thomas,Roberts,1978-09-25,061-027-3205,shunter@mitchell-lopez.org,6983 Kelly River Apt. 647,Wrightside,CA,96684,"Chemist, analytical",dog,fostering,False,2002-11-14
Rodney,Chen,1972-04-13,538-251-6656,shelbypatterson@gmail.com,41558 Odonnell Green Suite 306,Turnertown,WA,91684,Passenger transport manager,dog,fostering,True,2003-09-27
Nathan,Cruz,1983-10-11,879-207-0457,johnpalmer@suarez.com,01047 Morris Trail,Brownshire,WA,95090,"Copywriter, advertising",dog,fostering,True,2001-05-17
Alexander,Williams,2000-04-19,967-358-4403,mhill@blair.com,3768 Pamela Streets Apt. 663,Jennifermouth,OR,90874,"Research officer, government",dog,fostering,True,2003-06-09
Kim,Williams,2003-10-08,346-301-6218,eric12@gmail.com,0294 Waters Overpass,Lake Benjamin,WA,94360,Animal technologist,cat,adopting,True,2003-11-17
Juan,Nixon,2003-09-30,511-358-5372,kdouglas@flowers.info,073 Cook Glens Suite 968,South Cindymouth,WA,99066,"Scientist, water quality",cat,fostering,False,2003-03-06
Jesse,Smith,1976-03-18,751-861-0658,barkerjennifer@gmail.com,2034 Cobb Branch,Melissamouth,OR,97680,Administrator,dog,adopting,True,2000-05-29
Christopher,Wilson,1973-11-17,313-577-0458,virginia40@yahoo.com,08686 Wesley Key Apt. 730,New Wanda,WA,90577,"Education officer, museum",dog,adopting,True,2002-03-29
Joseph,Black,1970-07-22,752-928-7482,turnerwilliam@hotmail.com,85218 Montes Via Suite 004,Kylefurt,CA,90242,Administrator,cat,adopting,True,2003-03-20
Melissa,Brown,1988-01-01,187-347-5513,jonathonhatfield@hotmail.com,600 Thompson Point,Thomasmouth,CA,90520,Transport planner,cat,adopting,False,2002-07-11
Krystal,Thomas,1992-11-19,598-922-5659,franciscoperez@gmail.com,538 Manning Place,North Robert,CA,92504,"Restaurant manager, fast food",dog,fostering,False,2002-06-29
Tricia,Porter,1981-03-29,357-910-3698,justin22@martinez-cook.org,12197 Kevin Cape,East Sabrina,OR,97723,Veterinary surgeon,dog,fostering,True,2000-04-07
Mary,Beck,1975-04-08,055-450-9044,lcannon@hotmail.com,15652 Ward Forges Suite 402,Carterfurt,WA,98734,"Engineer, materials",cat,fostering,False,2002-07-05
Ricky,Blair,1994-06-25,477-833-2110,psimmons@wright.info,214 Michael Gardens Suite 399,Lake Jessicaville,WA,98419,Retail merchandiser,cat,fostering,False,2001-11-08
Jeffrey,King,1991-12-24,287-492-0720,rosaleschristine@hotmail.com,547 Jason Brooks Apt. 226,Jonathanhaven,CA,91104,Metallurgist,dog,adopting,True,2002-05-17
Briana,Obrien,1991-02-08,771-051-6199,tjackson@gmail.com,4382 Phillip River Suite 223,Orozcostad,CA,93256,Systems developer,dog,fostering,True,2001-01-01
Erika,Gonzalez,1982-05-28,265-305-2483,patrickcrawford@smith-sanchez.net,499 Brown Centers Apt. 502,Jasonberg,WA,97577,Financial risk analyst,cat,fostering,True,2000-09-20
Luke,English,1991-11-03,236-762-0853,tonya80@foley.biz,15561 Weaver Field,Michaelshire,OR,94299,Location manager,dog,fostering,True,2001-07-31
Robert,Roberts,1978-12-30,259-962-5564,matthewhays@francis-kerr.org,7470 Mary Extension,South Josephtown,CA,96329,"Conservator, museum/gallery",dog,fostering,True,2003-10-22
John,Bell,1974-06-30,587-053-4571,uortiz@mcdonald-dorsey.biz,18128 Leslie Avenue,New Angela,CA,94775,Secondary school teacher,dog,fostering,False,2003-12-17
Mark,Bautista,1974-02-25,302-681-3525,kennethschmidt@sutton.com,99363 Kristi Ways Apt. 030,Thomasview,WA,95614,Herpetologist,cat,fostering,True,2001-05-13
Natasha,Whitaker,2003-03-11,792-780-1495,ustafford@carrillo.com,22671 Joseph Extensions Apt. 285,Kimview,CA,91465,Ship broker,dog,adopting,True,2002-08-31
Bradley,Mosley,1995-06-21,439-347-9683,bruce68@nielsen.info,642 Delgado Point Suite 542,Nicholasfort,WA,96282,"Psychologist, forensic",dog,adopting,True,2000-05-17
Brandi,Rodriguez,2001-01-18,256-899-7933,william71@hotmail.com,38167 Hernandez Hill,New Angela,WA,98365,Armed forces training and education officer,cat,adopting,False,2001-10-05
Christina,Turner,1985-04-25,942-659-3133,valentinejuan@hart.org,8599 Knox Trail,Donnatown,OR,93702,"Conservator, furniture",dog,adopting,False,2001-07-03
Kevin,Jordan,1994-02-28,125-914-9520,jennifermullen@mills.info,58139 Jennings Underpass,Rogersview,OR,95482,Public relations officer,dog,adopting,True,2000-10-31
Tyler,Faulkner,1992-02-07,747-005-1590,gsullivan@olsen-white.com,2121 David Burgs Suite 471,South Danielfort,OR,93523,Personal assistant,cat,adopting,True,2002-08-08
Katherine,Smith,1974-04-21,006-223-2097,megan84@yahoo.com,47589 Preston Square,Thomasview,WA,91888,"Accountant, chartered management",dog,adopting,False,2002-05-09
David,Evans,1996-02-07,878-932-9904,shawn83@tyler-villarreal.com,56922 Santos Way Apt. 883,Lake Tanyahaven,CA,90175,Geophysicist/field seismologist,dog,adopting,False,2000-11-18
Adam,Jennings,1999-10-29,767-644-8518,mhill@gmail.com,9147 Ashley Radial Suite 931,Bakerville,CA,94395,"Civil engineer, contracting",dog,adopting,True,2000-03-19
Megan,Hood,1987-05-27,385-351-0668,hermangregory@yahoo.com,034 Nicole Ridges Apt. 661,Adambury,CA,95859,"Conservator, furniture",dog,adopting,False,2002-08-27
Cory,Moyer,1988-03-07,005-801-9528,sandra79@yahoo.com,6834 Edward Mountains Apt. 170,Dennisside,OR,97194,Museum/gallery conservator,dog,fostering,True,2003-04-07
Charles,Rogers,2001-02-17,942-879-0529,courtney71@yahoo.com,272 Harris Street,Randallport,OR,97104,"Psychologist, sport and exercise",dog,fostering,False,2000-03-10
Benjamin,Howard,1980-02-15,982-773-6828,jim46@gmail.com,69428 Cindy Ports,Marcusshire,CA,93705,"Surveyor, minerals",cat,adopting,True,2000-12-19
Gina,Berry,1986-12-19,739-088-2994,dustin61@hotmail.com,844 Silva Gateway Suite 614,Port Davidberg,CA,95884,"Designer, multimedia",dog,fostering,True,2000-09-07
Ryan,Vazquez,1990-07-02,438-134-5122,raymondwilliamson@yahoo.com,60764 Stacey Harbors Suite 179,Christinebury,CA,91905,"Scientist, biomedical",dog,adopting,False,2000-01-28
Barry,Brewer,1980-07-03,427-274-4812,vbutler@hotmail.com,72572 Joshua Drive,Frankville,OR,95947,Orthoptist,cat,fostering,False,2002-05-21
Kayla,Hickman,1985-12-02,490-326-3008,daniel25@hansen.com,01662 Gonzalez Drives Apt. 546,Lake Shane,CA,95077,Museum education officer,dog,fostering,True,2001-02-10
Monica,Dyer,1985-08-23,468-500-2336,uparks@gmail.com,2535 Beasley Common Apt. 918,West Darrylton,OR,91830,"Designer, furniture",cat,adopting,False,2000-09-06
Michelle,Robinson,1998-03-25,673-284-8581,keith57@gmail.com,7771 Johnson Ports Apt. 297,Transhire,OR,96063,Museum education officer,dog,fostering,False,2001-10-22
Marissa,Warren,1995-11-24,093-856-4962,ymooney@herrera-brown.com,401 Sarah Plains,South Angelaborough,CA,92827,Wellsite geologist,dog,adopting,False,2003-04-12
Sabrina,Watson,1988-03-01,710-354-9340,daniellejohnson@yahoo.com,424 Hester Branch Suite 790,Goldenchester,WA,97605,Legal secretary,cat,adopting,False,2003-05-26
Brittany,Rodriguez,1975-09-20,519-994-9686,youngcaitlin@hotmail.com,47097 Jacob Views Suite 310,Benitezburgh,OR,98418,Location manager,dog,fostering,True,2002-04-29
Charles,Strong,1998-10-01,711-511-7695,garrisonangela@gmail.com,9622 Maldonado Viaduct,Claytonhaven,OR,98266,Technical author,cat,adopting,True,2001-03-02
Daniel,Rogers,1986-06-17,640-734-8203,pbird@mcknight.com,33833 Clark Avenue Suite 375,Conradside,WA,95163,Dietitian,dog,fostering,False,2003-06-18
Jacqueline,White,1987-02-20,144-011-6922,powellnatalie@gmail.com,742 Ryan Plaza Suite 913,Leonardton,WA,93658,Television/film/video producer,cat,adopting,True,2003-05-17
Michael,Wolf,1970-03-13,503-110-4144,morrisrachael@yahoo.com,358 James Road,New Robertbury,OR,96821,Photographer,cat,fostering,True,2002-06-04
Dominique,Spears,2002-09-16,361-196-9273,jsnyder@carter-rodriguez.biz,779 Davis Motorway,South Danielview,OR,94237,"Designer, interior/spatial",cat,adopting,False,2002-05-22
Mary,Warner,1982-10-16,215-551-6999,kerry24@hotmail.com,9145 Robert Meadows,South Aliciashire,OR,91211,Research scientist (maths),cat,fostering,False,2001-04-29
Jennifer,Brown,1989-12-22,976-391-1523,kathy32@hotmail.com,486 Mcgee Shore,East Laurenberg,WA,97291,Professor Emeritus,cat,adopting,False,2001-02-13
Philip,Mathews,1998-08-14,129-902-0552,grahamdavid@lowe-roberts.org,7572 James Prairie Apt. 934,Michaelfort,CA,91047,"Psychotherapist, child",dog,fostering,False,2003-03-04
Jeffery,Gomez,1990-10-08,397-242-5606,zgreen@gardner.biz,9484 Jeffrey Plaza Apt. 135,Lake Kim,WA,97347,"Psychologist, occupational",cat,fostering,True,2001-09-24
Erin,Nguyen,1975-09-13,095-925-1443,wgrant@keith.org,65717 Paul Pines,New Benjamin,WA,98940,Medical technical officer,cat,adopting,True,2001-10-03
Jeffery,Arnold,1996-01-30,297-263-5965,aortiz@gmail.com,1826 Paul Inlet,Longport,WA,96599,Petroleum engineer,dog,fostering,True,2001-07-15
Michael,Bell,1986-02-05,419-214-9532,tony37@gmail.com,263 David Well Apt. 514,Lake Edwardmouth,WA,90388,Pension scheme manager,dog,fostering,True,2002-04-30
Nicholas,Smith,1977-06-17,131-662-5054,whanson@fritz.info,281 Boyd Lake Suite 117,Brandonmouth,WA,97806,Social researcher,cat,fostering,True,2003-12-24
Arthur,Ware,1988-04-23,186-775-2212,wpowell@hotmail.com,33330 Jordan Gardens Suite 440,West Bobby,CA,97143,Soil scientist,dog,fostering,True,2002-01-04
Kristina,Obrien,1999-07-22,045-370-3977,cwashington@washington.biz,06471 Michael Walks Apt. 946,New Joseph,WA,99248,Aeronautical engineer,cat,fostering,True,2003-02-28
Gary,Lynn,1976-06-09,178-504-2551,nyoung@mitchell.com,9867 Richard Run,Jennifertown,OR,93778,Information officer,dog,fostering,True,2001-08-26
Lori,Brown,1971-07-09,578-163-4307,thompsonkevin@hotmail.com,9498 Rodriguez Parks,New Nicolestad,OR,99453,Jewellery designer,dog,adopting,True,2003-04-11
Jennifer,Leach,2000-12-15,864-229-3950,kflowers@zavala-frost.com,445 Timothy Harbor,Frazierton,WA,91731,"Conservation officer, historic buildings",dog,fostering,False,2003-05-04
Charles,Tate,1972-01-05,792-117-6005,davidsmith@gmail.com,419 Gonzales Valley,Bakerbury,CA,96413,Estate agent,cat,adopting,True,2001-12-02
Yolanda,Peterson,1971-03-17,737-722-9366,dhutchinson@vaughan-herrera.com,86374 Christopher Via Suite 245,Lake Jenniferfurt,CA,90230,Theatre manager,dog,adopting,False,2001-12-28
Karl,Herman,1974-03-03,474-014-4619,susan20@yahoo.com,38256 Martin Fords Suite 199,Bakermouth,OR,90935,"Nurse, mental health",cat,adopting,False,2001-07-28
Tanya,Steele,1991-05-03,120-971-1819,thomas91@yahoo.com,294 Joshua Lodge,West David,CA,91946,"Therapist, occupational",dog,fostering,True,2002-03-14
Christopher,Duran,1996-07-17,391-219-9991,lewisrobin@yahoo.com,702 Murphy Skyway,East Vanessa,WA,94198,Industrial/product designer,cat,adopting,True,2003-08-12
Curtis,Mitchell,1987-01-13,791-455-2029,omoore@hotmail.com,6515 Robert Land,Lake Brian,WA,96751,Astronomer,cat,fostering,False,2000-01-08
Karen,Parks,1971-06-14,647-922-8561,prandall@schultz.com,32235 Mark Villages,Jamesburgh,OR,90365,"Scientist, physiological",cat,fostering,False,2000-04-13
Michele,Cooke,1971-04-11,898-467-8351,mayocrystal@yahoo.com,3175 Graham Lodge Suite 277,West Christy,WA,99080,Chartered certified accountant,dog,adopting,True,2003-08-24
Autumn,Stewart,1973-12-06,379-815-9444,jhowell@gmail.com,96798 Zachary Station,Kaylahaven,CA,93879,Financial manager,cat,fostering,True,2003-05-06
Alyssa,Mitchell,1972-08-29,386-516-1330,hthompson@gmail.com,0980 Moss Bypass Suite 044,Deborahfurt,OR,96401,Pharmacologist,cat,adopting,False,2001-01-30
Katherine,Miller,1979-10-15,835-990-8912,higginsapril@bailey.com,622 Jessica Ville Apt. 884,Anthonymouth,OR,92580,"Designer, graphic",cat,fostering,True,2001-04-04
Jennifer,Williams,1978-05-11,493-235-3061,mcguireemily@yahoo.com,6101 Kaitlyn Oval Suite 879,Sethtown,OR,93497,Barista,cat,fostering,True,2001-03-10
William,Hart,1993-06-04,394-799-0774,johnsoncameron@lopez.com,54818 Combs Plains Apt. 357,Bateshaven,OR,90574,Commissioning editor,dog,adopting,False,2003-05-21
Brad,Ortiz,1976-10-11,839-027-6752,danabrown@smith.info,7625 Ariana Drives,Tarafort,WA,90893,Architectural technologist,dog,fostering,True,2002-01-20
Kimberly,Webster,1975-08-07,497-005-7233,gdavis@porter.com,409 Jeanette Roads,East Hayley,CA,91191,Nutritional therapist,cat,fostering,True,2000-11-05
Ashley,Whitaker,2002-09-16,551-349-0487,mitchelljeffrey@hotmail.com,7846 Mooney Cliff Apt. 289,North Loriside,OR,98061,Chief Technology Officer,dog,fostering,False,2001-12-09
